ID,Evid,Date,Time,Lat,Lon,SLUMw,UUSSMw,MwPref,UUSSML,UUSSMC,MTDep,Strike,Dip,Rake
01,50212935,2000-11-24,04:20:04.84,44.752,-110.694,4.49,-,4.49,4.21,3.76,4.10,030,75,80
02,50277270,2003-08-21,07:46:52.59,44.095,-110.515,4.23,-,4.23,4.31,4.42,4.20,295,55,-100
03,50315205,2006-05-18,10:16:19.14,44.189,-110.253,3.87,-,3.87,3.82,4.44,3.84,200,40,-30
04,50357770,2008-03-25,11:59:36.08,44.692,-110.017,4.24,-,4.24,4.18,4.53,4.21,005,60,-30
05,50396715,2010-01-19,21:32:30.49,44.561,-110.969,3.93,-,3.93,3.63,3.76,3.90,345,70,-30
06,50398395,2010-01-21,06:16:18.35,44.566,-110.965,4.29,-,4.29,3.87,3.77,4.26,350,85,-60
07,50443920,2012-08-07,05:07:13.79,44.753,-111.095,3.15,3.25,3.25,3.19,2.95,5.00,327,42,-57
08,50443120,2012-09-05,22:52:50.71,44.777,-110.932,3.55,3.6,3.6,3.51,3.53,12.00,347,18,-103
09,60026297,2013-06-06,02:09:19.78,44.844,-111.462,3.55,-,3.55,3.79,3.60,3.52,095,20,-30
10,60071202,2014-06-03,09:33:27.73,44.796,-110.766,3.83,-,3.83,3.38,3.71,3.80,195,70,30
11,60203137,2017-06-16,00:48:46.94,44.781,-111.033,4.33,4.45,4.45,4.36,4.38,15.00,327,62,-10
12,60217692,2017-07-18,20:31:10.47,44.788,-111.038,3.65,3.68,3.68,3.61,3.74,12.00,322,55,-15
