hypo. distance [km],-logA0
3,-0.5026388755
6,-0.5820519548
9,-0.7396433440000001
12,-0.9567061535
15,-1.194816552
18,-1.419903756
21,-1.6225469359
25,-1.8083356838
30,-1.9755373211
35,-2.1262338155
40,-2.2717743104
45,-2.4176822177
50,-2.5646362017
55,-2.7043838237
60,-2.8297585892
65,-2.9436326542
70,-3.0412727455
75,-3.1201397087
80,-3.1844794805
85,-3.2416521931
90,-3.2932223034
95,-3.3374508054
100,-3.3732328869
105,-3.3996942782
110,-3.4215891836
115,-3.4514132908
120,-3.4946605752
125,-3.5540304928
130,-3.6266472758
135,-3.7042131757
140,-3.7793661752
145,-3.8460150769
150,-3.8985277219
155,-3.9346370737000003
160,-3.956759875
165,-3.9716676108
170,-3.9828671925
175,-3.9897025905000003
180,-3.9927180965
